 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2002
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"150210 Cametá";42;8;9;10;7;8;11;24;22;35;176
"150215 Canaã dos Carajás";-;3;-;4;2;3;4;5;2;1;24
"150220 Capanema";31;6;5;9;5;14;21;31;40;63;225
"150230 Capitão Poço";8;3;2;7;7;7;11;14;11;19;89
"150240 Castanhal";21;11;11;37;36;29;57;78;110;119;509
"150250 Chaves";-;1;-;-;-;-;-;-;-;1;2
"150260 Colares";1;-;-;-;1;2;-;1;3;6;14
"150270 Conceição do Araguaia";13;3;3;8;7;9;9;9;16;18;95
"150275 Concórdia do Pará";6;2;3;5;1;7;7;10;15;18;74
"150276 Cumaru do Norte";-;-;-;-;-;4;1;-;-;-;5
"150277 Curionópolis";2;2;-;6;4;5;7;8;10;5;49
"150280 Curralinho";4;1;1;4;-;3;1;1;1;5;21
"150285 Curuá";2;3;-;3;2;-;3;-;1;9;23
"150290 Curuçá";-;-;-;-;1;2;1;2;5;11;22
"150293 Dom Eliseu";16;3;5;15;12;8;8;13;6;5;91
"150295 Eldorado do Carajás";1;3;3;12;10;5;9;7;7;6;63
"150300 Faro";5;1;-;1;2;1;2;3;2;7;24
"150304 Floresta do Araguaia";4;-;2;3;4;3;2;2;1;1;22
"150307 Garrafão do Norte";8;-;2;4;-;2;7;7;12;9;51
"150309 Goianésia do Pará";6;2;9;14;4;10;3;11;7;7;73
"150310 Gurupá";6;1;1;-;3;5;2;5;7;12;42
"150320 Igarapé-Açu";4;1;-;3;3;5;8;9;23;21;77
"150330 Igarapé-Miri";3;1;8;11;10;5;5;6;17;48;114
"150340 Inhangapi";1;-;-;1;1;2;-;2;3;5;15
"150345 Ipixuna do Pará";6;-;-;3;2;5;5;5;2;3;31
"150350 Irituia";2;1;-;1;3;1;5;3;6;15;37
"150360 Itaituba";68;14;16;46;33;47;45;49;48;30;396
