 População Residente - Brasil
População residente por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:1998
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"420415 Celso Ramos";54;249;299;448;410;303;228;146;80;18;2235
"420417 Cerro Negro";81;329;483;645;525;411;325;216;99;35;3149
"420419 Chapadão do Lageado";48;244;259;458;403;221;148;127;47;17;1972
"420420 Chapecó";3018;11986;13732;26978;23552;14540;7740;4756;2238;755;109295
"420425 Cocal do Sul";219;956;1239;2200;2384;1495;684;404;219;65;9865
"420430 Concórdia";924;3889;5374;9972;9412;6810;4150;2549;1277;453;44810
"420435 Cordilheira Alta";43;208;281;432;453;365;235;119;81;28;2245
"420440 Coronel Freitas";212;781;957;1622;1626;1240;821;462;244;63;8028
"420445 Coronel Martins";62;265;263;476;377;265;215;98;36;12;2069
"420455 Correia Pinto";282;1065;1300;2357;1872;1438;867;521;236;73;10011
"420450 Corupá";175;794;1050;1904;1752;1223;884;700;422;134;9038
"420460 Criciúma";3023;12550;16082;27474;30058;19441;10219;6176;2732;810;128565
"420470 Cunha Porã";178;782;875;1661;1741;1294;870;619;342;98;8460
"420475 Cunhataí";28;147;180;302;339;222;154;99;50;18;1539
"420480 Curitibanos";799;2960;3633;6044;5347;3760;2439;1582;789;241;27594
"420490 Descanso";174;746;927;1455;1573;1139;751;483;245;49;7542
